cell_label,brain_section_label,x,y,z,supertype,cluster,glut_cluster,x_lat,dl_score,dl_group
1017184920201240629,C57BL6J-638850.61,4.42377600522291,6.151917884441955,12.0,0048 IT AON-TT-DP Glut_3,0177 IT AON-TT-DP Glut_3,Glut_3,1.8928420134408537,1.7816390413768837,dorsolateral
1104095349101120430,C57BL6J-638850.59,5.996599431123728,6.370584966048179,11.4,0047 IT AON-TT-DP Glut_2,0172 IT AON-TT-DP Glut_2,Glut_2,1.0825587454900782,0.36131986460094284,ventromedial
1017163940100320318,C57BL6J-638850.58,3.975526816031421,6.899209550857547,11.2,0049 IT AON-TT-DP Glut_4,0180 IT AON-TT-DP Glut_4,Glut_4,1.1404155691719544,-0.40560294308708994,ventromedial
1018135614101660321,C57BL6J-638850.55,5.0218557981302725,7.287538575450862,10.4,0049 IT AON-TT-DP Glut_4,0180 IT AON-TT-DP Glut_4,Glut_4,0.33823450102033004,-2.0859061979738707,ventromedial
1018143423100990236,C57BL6J-638850.56,3.633046123552617,6.4558633950066255,10.8,0049 IT AON-TT-DP Glut_4,0181 IT AON-TT-DP Glut_4,Glut_4,1.672308158506643,1.0050797286123108,ventromedial
1017185048100560572,C57BL6J-638850.62,4.481481430249931,5.76030645870599,12.2,0050 IT AON-TT-DP Glut_5,0183 IT AON-TT-DP Glut_5,Glut_5,1.7841668915193996,2.262759012460063,ventromedial
1017165415101280207,C57BL6J-638850.57,5.135324616733047,7.131462763673484,11.0,0046 IT AON-TT-DP Glut_1,0170 IT AON-TT-DP Glut_1,Glut_1,0.5064938990243819,-1.6143969264101552,ventromedial
1018133836201692215,C57BL6J-638850.54,5.610169572416987,6.195636455226118,10.2,0046 IT AON-TT-DP Glut_1,0169 IT AON-TT-DP Glut_1,Glut_1,0.007437534360296816,-0.7811749547392253,dorsolateral
1017163940201150199,C57BL6J-638850.58,6.695441498731135,6.144516198084602,11.2,0049 IT AON-TT-DP Glut_4,0180 IT AON-TT-DP Glut_4,Glut_4,1.5794991135277598,1.379116833489023,ventromedial
1017185048101210084,C57BL6J-638850.62,6.455074377266372,6.421226154845249,12.2,0050 IT AON-TT-DP Glut_5,0184 IT AON-TT-DP Glut_5,Glut_5,0.18942605549704084,-0.9004634332399526,dorsolateral
1017165415101580243,C57BL6J-638850.57,6.317053497884304,6.519589402256937,11.0,0050 IT AON-TT-DP Glut_5,0184 IT AON-TT-DP Glut_5,Glut_5,0.6752349821268755,-0.4150205104237067,dorsolateral
1018143423101340491,C57BL6J-638850.56,5.363542094737004,5.756830567031672,10.8,0046 IT AON-TT-DP Glut_1,0169 IT AON-TT-DP Glut_1,Glut_1,0.05818781267774398,-0.013948302110341038,dorsolateral
1104095349101240548-2,C57BL6J-638850.59,4.874798335947326,6.957263954310317,11.4,0050 IT AON-TT-DP Glut_5,0184 IT AON-TT-DP Glut_5,Glut_5,0.03924234968632323,-1.9543050176520473,dorsolateral
1018143557101320357,C57BL6J-638850.60,4.26288533976349,6.6229341048564905,11.8,0049 IT AON-TT-DP Glut_4,0180 IT AON-TT-DP Glut_4,Glut_4,1.7768149978846717,0.8767053450944065,ventromedial
