gene_identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,direction,fdr_sig,significant
ENSMUSG00000021647,76.5946948441107,3.3966363649981273,0.3922563295854313,8.659226400726208,4.749766204603265e-18,5.315267780963089e-16,Cartpt,dorsolateral,True,True
ENSMUSG00000024517,13.506327029907434,3.0618774280948604,0.297337030656367,10.297665989788799,7.219160540409915e-25,1.6349679776280742e-22,Grp,dorsolateral,True,True
ENSMUSG00000035258,884.4162257827917,2.9226350500824725,0.2249946147399082,12.9898000157071,1.3979185900240108e-38,1.477444625367599e-35,Abi3bp,dorsolateral,True,True
ENSMUSG00000005716,0.5146378407169492,2.0501333208827117,0.4242751232728073,4.832084674369381,1.3511076400807178e-06,1.8679848651813647e-05,Pvalb,dorsolateral,True,True
ENSMUSG00000026787,28.777428014518996,1.7971859433715112,0.31808664636656225,5.649988655293748,1.6045842624460442e-08,3.3216116440449997e-07,Gad2,dorsolateral,True,True
ENSMUSG00000045903,118.15570627748522,1.7289479891049238,0.4289005310914686,4.0311164565478315,5.551252770982356e-05,0.0004937215180699782,Npas4,dorsolateral,True,True
ENSMUSG00000021250,259.2705087628104,1.4773002814300074,0.3629198802962819,4.070596188403797,4.6892973722349344e-05,0.0004267187410602381,Fos,dorsolateral,True,True
ENSMUSG00000022602,230.00049585275787,1.2429183458463986,0.35491259726294283,3.502040658549976,0.0004617091548510415,0.003064743531711868,Arc,dorsolateral,True,True
ENSMUSG00000030500,61.35819100754136,1.191208116482888,0.3772946681417746,3.157235490100465,0.0015927266339219183,0.00876191599625067,Slc17a6,dorsolateral,True,True
ENSMUSG00000045731,1.613665187067523,1.1330694601610856,0.6693204127171435,1.6928655373908692,0.09048106443758797,0.21827438116417366,Pnoc,dorsolateral,False,False
ENSMUSG00000019865,7.501293518818125,1.068233452184791,0.16645275610729435,6.417637515693731,1.3840532192630352e-10,4.2883108213778476e-09,Nmbr,dorsolateral,True,True
ENSMUSG00000038418,1018.5547594924008,1.0314684403037917,0.19411415523081232,5.3137208828347395,1.0740909884383886e-07,1.875968309509819e-06,Egr1,dorsolateral,True,True
ENSMUSG00000027971,1560.6737680040687,0.9517717163860787,0.2903696063808616,3.2777938719167903,0.00104621764290066,0.006152471232934205,Ndst4,dorsolateral,True,False
ENSMUSG00000070687,7.631148230751542,0.8817848599010066,0.2530853216130996,3.484140661658056,0.0004937199382033741,0.0032388027946141343,Htr1d,dorsolateral,True,False
ENSMUSG00000035274,121.56301175485169,0.8740276967427816,0.35247759189136746,2.4796688267552462,0.013150445898437307,0.04900569691907372,Tpbg,dorsolateral,True,False
ENSMUSG00000061762,92.83287043203215,0.84472327887518,0.6238213671240883,1.3541108454964972,0.17570101659629878,0.34724040512445337,Tac1,dorsolateral,False,False
ENSMUSG00000021303,154.8285116191425,0.7981649575478459,0.12539648420022453,6.365130271701962,1.9512405400143963e-10,5.920318984566806e-09,Gng4,dorsolateral,True,False
ENSMUSG00000032181,85.62740428412256,0.669162441355083,0.3657569896470039,1.829527419287049,0.06732063558947464,0.17505573694015386,Scg3,dorsolateral,False,False
ENSMUSG00000031561,1716.4005714558516,0.5916019467449036,0.33067805040063974,1.7890571993760584,0.07360560417228679,0.1871772508720203,Tenm3,dorsolateral,False,False
ENSMUSG00000041380,589.2119708260874,0.5901430431094176,0.29927258867709766,1.971924811818154,0.04861819038839368,0.13637753670728417,Htr2c,dorsolateral,False,False
ENSMUSG00000038676,2.1464288477593527,0.5593856387876973,0.31414356481025024,1.78066878156673,0.07496657600911964,0.18963252922155877,Ucn,dorsolateral,False,False
ENSMUSG00000032532,2471.4752985242176,0.5219601510441372,0.19227053259244756,2.714717351673056,0.00663323568450689,0.0282053365359989,Cck,dorsolateral,True,False
ENSMUSG00000031309,404.471594033023,0.5055315784194828,0.04726118178126076,10.69654967070519,1.0563880584304506e-26,3.044958549027408e-24,Rps6ka3,dorsolateral,True,False
