,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSMUSG00000051951,1701.0699898810406,0.48558870882602606,0.11478769754443215,4.523222889794465,6.090504309600263e-06,7.121435401710843e-05,Xkr4
ENSMUSG00000089699,43.38338452406253,0.8557418205249182,0.23856404464246492,4.280628524002832,1.8636621965118662e-05,0.0001906145678840954,Gm1992
ENSMUSG00000102331,224.80403624567094,0.35962257571480705,0.1572676364547258,2.6474954254846716,0.008109045684385807,0.03323276283924075,Gm19938
ENSMUSG00000025900,1.3577633265066247,0.15570358953406946,0.22945227217700417,1.1174932544332985,0.26378348219046954,0.4566166483340758,Rp1
ENSMUSG00000033845,54.0760989022412,0.09307977841705974,0.1279769210835904,0.8523273260443763,0.3940324434740674,0.5906880494927053,Mrpl15
ENSMUSG00000025903,67.73536628266824,-0.03388404285113091,0.12623974393131826,-0.30516233246069846,0.7602425192768296,0.8678059334406821,Lypla1
ENSMUSG00000033813,249.95160393896884,0.02188479068682047,0.047623063216057825,0.46047617417064873,0.645174469370208,0.792420369636441,Tcea1
ENSMUSG00000002459,50.47526987574771,-0.25476627415960307,0.29952920345848827,-1.6358491478439248,0.1018711629844474,0.2374414364881313,Rgs20
ENSMUSG00000033793,171.830868002174,-0.10827979201772439,0.08044381627499918,-1.4309702617648146,0.15243873825860968,0.3159035464740513,Atp6v1h
ENSMUSG00000025905,4.699193561476478,-3.1577748590555648,0.5414818014144852,-5.399518592613413,6.681995915042209e-08,1.2199452042971496e-06,Oprk1
ENSMUSG00000025907,221.18746420331505,-0.08698458195337114,0.07843148331565768,-1.1714835803849006,0.24140445399234278,0.4307933018954276,Rb1cc1
ENSMUSG00000090031,13.8037830169549,0.08963305751419048,0.130781990767188,0.8032935771999304,0.4218050693952896,0.6159364169616203,4732440D04Rik
ENSMUSG00000087247,0.37508224231924714,-0.8783877266571016,0.40056473757327743,-2.6325945146398073,0.008473544307848751,0.034372294806108934,Alkal1
ENSMUSG00000033740,114.55288816168738,-3.60271251762832,0.8735809179170391,-5.485128697632473,4.131685096031812e-08,7.971721832343731e-07,St18
ENSMUSG00000051285,538.2006194853955,-0.32826500836051753,0.09230648377794125,-3.7808441304856486,0.00015629751066956803,0.001220108265481273,Pcmtd1
ENSMUSG00000097797,13.058625875827454,-0.06866905417389703,0.17338108280393988,-0.49219281829256395,0.6225830409345121,0.776249821125846,Gm26901
ENSMUSG00000025909,1006.8337761426828,-0.3875175115484901,0.07546940025287907,-5.317250263835036,1.0534712765661461e-07,1.8556701449439225e-06,Sntg1
ENSMUSG00000061024,44.599776249502625,0.2599021608950289,0.11893132251925594,2.420857204109456,0.015483958330675365,0.05585263998535611,Rrs1
ENSMUSG00000025911,3.8975062888787506,0.015935828903249665,0.2366458442722314,0.1328764678045031,0.8942910778243803,0.944903830298862,Adhfe1
ENSMUSG00000079671,1.1001166102903566,0.10734677339374732,0.24668579792191025,0.8059209768843502,0.42028841514939563,0.614510498929502,2610203C22Rik
ENSMUSG00000067879,947.4213994177968,0.28090371414248166,0.21214559635646746,1.7980680343911777,0.07216622705765059,0.1848024694558806,Vxn
ENSMUSG00000025912,5.272775189786065,-0.15694204698163905,0.15864751117490494,-1.2239452646430762,0.2209728764718376,0.40679194910008115,Mybl1
ENSMUSG00000045210,173.04034087647517,0.015393478197796429,0.09073916412002284,0.17612484079885812,0.8601958658300956,0.9258481556747802,Vcpip1
ENSMUSG00000097893,15.374810165090585,0.004573227302181693,0.2675595624604261,0.11313761034019479,0.9099214576641781,0.9533703701384219,1700034P13Rik
ENSMUSG00000025915,73.00409348786377,-0.2325980926600706,0.15092122212794828,-1.846893960292661,0.06476251026036722,0.17033623602837358,Sgk3
ENSMUSG00000046101,25.007615235000248,-0.31163174529150706,0.15372849556662105,-2.3686130461977246,0.01785492296979303,0.06245119591420162,Mcmdc2
ENSMUSG00000098234,230.76039273598954,0.38401126867161517,0.04848983508298419,8.03703591172679,9.203770189421447e-16,7.387870214495933e-14,Snhg6
ENSMUSG00000099032,0.6879546240144766,0.9750931294648474,0.30650733532806307,3.6483508768168766,0.00026392902466788567,0.0019142149314837426,Tcf24
ENSMUSG00000025916,8.234708092321068,0.15811178374072707,0.17365635327189158,1.1746404240255628,0.24013860346037919,0.4297828998466083,Ppp1r42
ENSMUSG00000025917,99.6264962877198,0.21302913557641032,0.07715990830183306,2.8898274651904283,0.0038545331632045495,0.0181821569295322,Cops5
ENSMUSG00000056763,222.9877969165937,-0.1556239544813959,0.07556331532047127,-2.166381916819863,0.03028201463155688,0.09422391991343443,Cspp1
ENSMUSG00000067851,255.72802084688428,0.009621291590268841,0.056755339095579976,0.1818948999265706,0.8556652070017647,0.9233748311306127,Arfgef1
ENSMUSG00000042501,44.550698363131445,-2.154062088867018,0.209861704741317,-10.461103832702417,1.3032841266522142e-25,3.2199580812248994e-23,Cpa6
ENSMUSG00000048960,44.25617223518036,-0.1518719020158286,0.1866133691034035,-1.1019836500153688,0.27046877976591355,0.46442118495772583,Prex2
ENSMUSG00000057715,864.6999302047112,-0.29603049598508147,0.10789798607694356,-2.9928905153519136,0.002763488663941169,0.013784113356795177,A830018L16Rik
ENSMUSG00000016918,122.50616569179131,-0.800256483048682,0.24410362745104408,-3.874279796346294,0.00010694049065407164,0.0008803270853323491,Sulf1
ENSMUSG00000025938,16.590674377967368,0.5148971045045225,0.11366690829401044,4.816026279487871,1.4644524544297015e-06,2.0115338262144867e-05,Slco5a1
