gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000001260,Gabrg1,2.273363153369734,0.12437730699304383,1.2398247770664217e-74,2.3586426558911606e-70,138.24521263891626
ENSMUSG00000009075,Cabp7,-2.636761668179466,0.15365813422618615,5.29843341807457e-66,5.039869867272531e-62,13.948819545473118
ENSMUSG00000029659,Medag,-4.043802993067221,0.23746212602338962,4.983499689592688e-65,3.1602032698270434e-61,25.171494875610378
ENSMUSG00000021803,Cdhr1,-1.9622004891889842,0.11540874730340396,7.911972909105296e-65,3.762934315570479e-61,48.77601782644711
ENSMUSG00000035357,Pdzrn3,1.6465174776496516,0.09936280906718704,1.1337954626772797e-61,4.313864976394514e-58,600.601223001094
ENSMUSG00000043969,Emx2,3.150323216888949,0.19644161976777136,7.05413896495867e-58,2.2366323278228953e-54,26.87444463333428
ENSMUSG00000022269,March11,1.1396363800190688,0.07333045091524781,1.8279849083424552e-54,4.3469481120383586e-51,119.26514133648959
ENSMUSG00000089706,B230216N24Rik,2.3077798066797794,0.1511756192129461,1.29718417804076e-52,2.741959089227491e-49,170.33746282513067
ENSMUSG00000042596,Tfap2d,2.873170471235212,0.19810219353942174,1.1516645720750402e-47,1.9917515290141422e-44,110.60022059125622
ENSMUSG00000008398,Elk3,-2.0940440735496035,0.15740049842297021,2.196358548280405e-40,2.984537501606173e-37,12.331748319004259
ENSMUSG00000017491,Rarb,-2.4506933244537707,0.18686735957396874,2.715606927595432e-39,3.4441137460383666e-36,39.19047255651027
ENSMUSG00000030137,Tuba8,-2.211371697796972,0.1689292642693516,3.7305136853071134e-39,4.435580771830158e-36,6.464846912979466
ENSMUSG00000035258,Abi3bp,2.9226350500824725,0.2249946147399082,1.3979185900240108e-38,1.477444625367599e-35,884.4162257827917
ENSMUSG00000060424,Pantr1,2.306200239843423,0.1785305572945559,3.577764952791274e-38,3.5822842348369054e-35,249.2477447087489
ENSMUSG00000028883,Sema3a,1.8865180488637927,0.14770370998554158,2.3409244290348355e-37,2.2266873168979357e-34,189.83069488648746
ENSMUSG00000032020,Ubash3b,1.553441541697924,0.12229514853798713,5.734586806534533e-37,5.194989495595855e-34,164.4587083085123
ENSMUSG00000085845,Gm13944,-1.5865552468928543,0.12675085803225034,6.0182074278762496e-36,5.2041080958144445e-33,9.375145274502119
ENSMUSG00000052133,Sema5b,-1.055126045648366,0.0844941257322448,8.72822659554178e-36,7.219381858851601e-33,24.405004035023527
ENSMUSG00000053465,Hs6st3,1.029400190711192,0.08264054098617095,1.2913395604434682e-35,1.0236018249115224e-32,1271.0802042899581
ENSMUSG00000045515,Pou3f3,1.68477057248178,0.13570767969122674,2.174917505759562e-35,1.5934086572027264e-32,105.6694919811899
ENSMUSG00000028033,Kcnq5,-1.4217620324473461,0.11452337893994412,2.1777031690112954e-35,1.5934086572027264e-32,1627.932043087673
