gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000027347,Rasgrp1,-2.559471694616753,0.09682871981470646,5.726110795391887e-154,1.0850979957267626e-149,935.9088564571884
ENSMUSG00000050783,Htr1f,-2.3753198663652797,0.09731569066568571,1.3928773739395689e-131,1.3197513118077414e-127,303.9690081367539
ENSMUSG00000039706,Ldb2,-3.6971937558148995,0.15476061938409325,3.9136312545148104e-126,2.4721104091018556e-122,211.15588805917866
ENSMUSG00000052560,Cpne8,1.7711082017375317,0.07942379040780302,3.7392627861718685e-110,1.4171805959591381e-106,755.3877193460584
ENSMUSG00000008575,Nfib,-2.5825773565467216,0.11974296552456146,3.614082802007618e-103,9.796493628910457e-100,1967.9403149465775
ENSMUSG00000024064,Galnt14,-3.9342351586935305,0.1824140098325032,3.6187575410223324e-103,9.796493628910457e-100,230.35464544554378
ENSMUSG00000027419,Pcsk2,-1.7018916076522337,0.07918237460337835,1.7980967639478444e-102,4.259241709601456e-99,2359.6737125004647
ENSMUSG00000034472,Rasd2,-2.4249429888036005,0.11436194291740974,8.751394502532332e-100,1.84265473136653e-96,140.47145392174693
ENSMUSG00000016386,Mpped2,-2.0992317923523345,0.09943637422565844,6.261737811720532e-99,1.1865993153210409e-95,511.1160092030965
ENSMUSG00000059921,Unc5c,1.091777216680635,0.05245256881742412,3.194548199067322e-96,5.503335306575069e-93,2381.9258788287343
ENSMUSG00000026834,Acvr1c,-4.207211130660404,0.2095427526840077,1.1480007131045042e-89,1.8128844594441964e-86,171.32762071737443
ENSMUSG00000062257,Opcml,-1.1079232146143956,0.05573856442051084,6.419088343355691e-88,9.357055700506949e-85,8874.355491701841
ENSMUSG00000045515,Pou3f3,1.9988612388264715,0.1013068763649273,1.1740194798272327e-86,1.589119224480433e-83,255.0657954033676
ENSMUSG00000067786,Nnat,-3.5936131057262606,0.1892209040233328,2.0002826584705042e-80,2.5270237585344034e-77,1674.3834120804236
ENSMUSG00000022636,Alcam,-3.201286172278077,0.16936910255752843,1.1140186722648152e-79,1.3194158649636406e-76,2109.7983557364505
ENSMUSG00000059173,Pde1a,-2.513170505375532,0.13417862182588436,2.81721938464513e-78,3.1403710199426594e-75,2297.13489236654
ENSMUSG00000036192,Rorb,-5.3811587505130145,0.29213897093078556,9.103978047769682e-76,9.584465778068638e-73,418.20768647344823
ENSMUSG00000039057,Myo16,-2.472913315547155,0.13446780667341382,1.5689268807614205e-75,1.5647981258120483e-72,213.69517924761783
ENSMUSG00000071679,Rtl4,-3.8351463291776913,0.2139611367547226,7.593052623389124e-72,6.851826057772566e-69,300.36113325831616
ENSMUSG00000092083,Kcnb2,-1.7264334789548712,0.097670055842583,6.398756975323675e-70,5.5116565764719837e-67,1085.3863004392547
ENSMUSG00000052544,St6galnac3,-2.4139451577140285,0.1368914306983737,1.3503544819077927e-69,1.1125746709631597e-66,193.61091578918297
ENSMUSG00000022269,March11,1.0606462474307674,0.06096853021094319,8.751961975705808e-68,6.633987177585002e-65,246.73001963449224
ENSMUSG00000042942,Greb1l,-2.8081846126638648,0.16280185899545782,1.1366728291787518e-66,8.284596197283594e-64,198.24002948243228
ENSMUSG00000009075,Cabp7,-3.4093755871316396,0.19850938552797315,4.094734154634971e-66,2.8738967492715813e-63,28.68566952027517
ENSMUSG00000035258,Abi3bp,3.2924476270437326,0.19267694137663205,1.8257932089051303e-65,1.235670761026865e-62,2210.2930415846677
ENSMUSG00000061132,Blnk,-4.776831698004937,0.28066695845982376,5.87981700769166e-65,3.8421562860605847e-62,42.07520848390622
ENSMUSG00000086224,2700069I18Rik,2.695408218701506,0.1611239751560615,8.087222882871649e-63,5.108429121013925e-60,51.96937144022295
