cluster,call_raw,call_decontX,call_stored
0,Excitatory,Excitatory,Excitatory
1,Inhibitory,Inhibitory,Inhibitory
2,Inhibitory,Inhibitory,Inhibitory
3,Inhibitory,Inhibitory,Inhibitory
4,Inhibitory,Inhibitory,Inhibitory
5,Excitatory,Excitatory,Excitatory
6,Excitatory,Excitatory,Excitatory
7,Inhibitory,Inhibitory,Inhibitory
8,Inhibitory,Inhibitory,Inhibitory
9,Inhibitory,Inhibitory,Inhibitory
10,Inhibitory,Inhibitory,Inhibitory
11,Inhibitory,Inhibitory,Inhibitory
12,Inhibitory,Inhibitory,Inhibitory
13,Excitatory,Excitatory,Excitatory
14,Excitatory,Excitatory,Excitatory
15,Inhibitory,Inhibitory,Inhibitory
16,Excitatory,Excitatory,Excitatory
17,Inhibitory,Inhibitory,Inhibitory
18,Inhibitory,Inhibitory,Inhibitory
19,Excitatory,Excitatory,Excitatory
20,Unassigned,Unassigned,Unassigned
21,Excitatory,Excitatory,Excitatory
