Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
GO_Biological_Process_2021,positive regulation of endothelial cell chemotaxis (GO:2001028),7/15,9.889642361014904e-06,0.0327643851420423,0,0,14.13519313304721,162.8942847624215,SEMA5A;FGF16;SMOC2;P2RX4;FGF18;MET;FGFR1,anterior_up
GO_Biological_Process_2021,pulmonary valve morphogenesis (GO:0003184),7/17,2.693946800664836e-05,0.0422230404512427,0,0,11.30695278969957,118.97083160407296,NOTCH2;BMP4;TGFB2;JAG1;SMAD6;ROBO1;STRA6,anterior_up
GO_Biological_Process_2021,pulmonary valve development (GO:0003177),7/18,4.185431692066831e-05,0.0422230404512427,0,0,10.278501755754975,103.62082024007684,NOTCH2;BMP4;TGFB2;JAG1;SMAD6;ROBO1;STRA6,anterior_up
GO_Biological_Process_2021,regulation of heart rate by cardiac conduction (GO:0086091),10/39,6.126065634686696e-05,0.0422230404512427,0,0,5.578669357231883,54.11517217230696,KCNE3;KCNH6;CAV1;PKP2;KCNA5;DSG2;SCN5A;SCN4B;DSC2;TRPM4,anterior_up
GO_Biological_Process_2021,phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200),15/81,6.372327263996785e-05,0.0422230404512427,0,0,3.6854718315392474,35.60519857905592,CHRM2;OPRD1;LPAR1;OPRK1;HTR2A;TACR1;ADRA1A;ESR1;TRHR;HRH1;P2RY1;PLCE1;DRD1;DRD2;DRD5,anterior_up
GO_Biological_Process_2021,sensory perception (GO:0007600),11/51,0.00014534704022460445,0.0638103062780286,0,0,4.45021533161068,39.323821762743826,ADGRV1;P2RX4;USH1G;WHRN;PENK;PCDH15;CDH23;OPRK1;PDYN;ALOXE3;NTSR2,anterior_up
GO_Biological_Process_2021,regulation of cytosolic calcium ion concentration (GO:0051480),21/148,0.00014913786389773834,0.0638103062780286,0,0,2.6866128050240463,23.67077668286424,CD52;TRPC5;TRPC6;TRPC3;CAV1;LPAR1;TACR1;ESR1;ADRA1A;HCRTR1;CALB2;CALCR;CALB1;PLN;P2RY1;CDH23;PLCE1;ACKR3;DRD2;CD55;TRPM4,anterior_up
GO_Biological_Process_2021,sensory perception of mechanical stimulus (GO:0050954),15/88,0.0001690953099365928,0.0638103062780286,0,0,3.3308272457110384,28.928394634904382,ADGRV1;WHRN;PCDH15;LHFPL5;TSPEAR;P2RX4;USH1G;CDH23;MYH14;SNAI2;ROR1;EPS8L2;SLC26A4;PDZD7;GSDME,anterior_up
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),34/300,0.000180047046114395,0.0638103062780286,0,0,2.0848738718500996,17.97639208584308,VIT;FBN2;COLGALT2;COL16A1;COL13A1;LAMA2;LAMC3;PAPLN;ITGA2B;DMP1;PLOD2;LAMC2;THSD4;ADAMTS16;ADAMTS4;ADAMTS15;ADAMTS2;CREB3L1;ADAMTS18;SLC39A8;ADAMTS9;TGFB2;COL23A1;P3H2;LAMB1;SMOC2;COL5A3;P4HA3;ADAM12;COL8A1;TLL2;ITGA6;LCP1;FBN1,anterior_up
GO_Biological_Process_2021,positive regulation of phosphorylation (GO:0042327),30/253,0.0001926058143013241,0.0638103062780286,0,0,2.1916942190948143,18.74964788197767,EPHB6;FLT4;PELI2;KNDC1;MST1R;RASGRP1;GPNMB;THPO;P2RY1;LEPR;NCKAP1L;EPHB2;PROM2;EPHA7;EPHA8;FZD7;HGF;PIFO;VEGFD;BMP4;EFNA1;FGF16;MAVS;KIT;FGF18;ROR1;ITGA6;MET;FGF10;FGFR1,anterior_up
GO_Biological_Process_2021,sensory perception of sound (GO:0007605),15/91,0.00024792667601048455,0.0746710070566123,0,0,3.1988354637674568,26.557939634209458,ADGRV1;WHRN;PCDH15;LHFPL5;TSPEAR;USH1G;KIT;CDH23;MYH14;SNAI2;ROR1;EPS8L2;SLC26A4;PDZD7;GSDME,anterior_up
GO_Biological_Process_2021,regulation of ventricular cardiac muscle cell action potential (GO:0098911),5/12,0.000383532795674776,0.0996206862695967,0,0,11.519769861672176,90.61549379742875,CAV1;PKP2;DSG2;DSC2;TRPM4,anterior_up
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),26/216,0.0003962988979333205,0.0996206862695967,0,0,2.225535041792964,17.4333767562845,VIT;FBN2;COL16A1;COL13A1;LAMA2;LAMC3;PAPLN;ITGA2B;DMP1;LAMC2;THSD4;ADAMTS16;ADAMTS4;ADAMTS15;ADAMTS2;ADAMTS18;SLC39A8;ADAMTS9;COL23A1;LAMB1;SMOC2;COL5A3;ADAM12;COL8A1;ITGA6;FBN1,anterior_up
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),26/217,0.0004257426080380292,0.0996206862695967,0,0,2.21376424257376,17.182519907474372,VIT;FBN2;COL16A1;COL13A1;LAMA2;LAMC3;PAPLN;ITGA2B;DMP1;LAMC2;THSD4;ADAMTS16;ADAMTS4;ADAMTS15;ADAMTS2;ADAMTS18;SLC39A8;ADAMTS9;COL23A1;LAMB1;SMOC2;COL5A3;ADAM12;COL8A1;ITGA6;FBN1,anterior_up
GO_Biological_Process_2021,fat cell differentiation (GO:0045444),11/58,0.0004771543698245996,0.0996206862695967,0,0,3.78600619421995,28.95412785771869,NR4A2;CEBPA;TCF7L2;WNT5B;CTBP2;PPARG;INHBB;METRNL;SMAD6;ALOXE3;FOXO1,anterior_up
