Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
GO_Biological_Process_2021,muscle cell development (GO:0055001),7/33,9.512780058536073e-05,0.1275700474935412,0,0,7.790335601430054,72.14076142196505,MEGF10;HEY2;MYOF;LRRC10;MYH6;TTN;ENG,posterior_up
GO_Biological_Process_2021,cardiac muscle cell differentiation (GO:0055007),6/24,0.00011466970561217196,0.1275700474935412,0,0,9.634730538922156,87.42029096808446,MESP1;MYOCD;BMP2;LRRC10;MYH6;TTN,posterior_up
GO_Biological_Process_2021,cardiac atrium morphogenesis (GO:0003209),5/19,0.0003360223157727276,0.2492165508647729,0,0,10.309630578688877,82.45985831261173,MESP1;BMP2;HEY2;MYH6;ENG,posterior_up
GO_Biological_Process_2021,cardiac muscle cell development (GO:0055013),5/24,0.0010683232847715,0.5211740778253411,0,0,7.594603099677444,51.959729328540135,PDGFRB;HEY2;LRRC10;MYH6;TTN,posterior_up
GO_Biological_Process_2021,regulation of aldosterone biosynthetic process (GO:0032347),3/7,0.0012047954126124,0.5211740778253411,0,0,21.596870342771982,145.16218716348016,BMP2;BMP6;BMP5,posterior_up
GO_Biological_Process_2021,elastic fiber assembly (GO:0048251),3/8,0.0018794944517462,0.5211740778253411,0,0,17.276602086438153,108.44095442100294,MFAP4;EMILIN1;FBLN5,posterior_up
GO_Biological_Process_2021,vascular associated smooth muscle cell differentiation (GO:0035886),3/8,0.0018794944517462,0.5211740778253411,0,0,17.276602086438153,108.44095442100294,MESP1;HEY2;ENG,posterior_up
GO_Biological_Process_2021,positive regulation of transcription of Notch receptor target (GO:0007221),4/17,0.0021428781401376,0.5211740778253411,0,0,8.869345579793341,54.50749834022401,MAML2;WWC1;MAML3;DLGAP5,posterior_up
GO_Biological_Process_2021,positive regulation of glial cell differentiation (GO:0045687),4/18,0.0026823827851536,0.5211740778253411,0,0,8.23539445628998,48.76218053804124,EGR2;BMP2;ID2;PTN,posterior_up
GO_Biological_Process_2021,cardiac ventricle morphogenesis (GO:0003208),6/44,0.0033976306949569,0.5211740778253411,0,0,4.559092341632525,25.916967123238315,MESP1;NPY2R;HEY2;TNNI3;MYH6;ENG,posterior_up
GO_Biological_Process_2021,regulation of epithelial cell apoptotic process (GO:1904035),3/10,0.0038291922938508,0.5211740778253411,0,0,12.33915265062806,68.66863553490458,PKHD1;ZFP36;NUPR1,posterior_up
GO_Biological_Process_2021,regulation of organ growth (GO:0046620),3/10,0.0038291922938508,0.5211740778253411,0,0,12.33915265062806,68.66863553490458,WWC1;DUSP9;DUSP6,posterior_up
GO_Biological_Process_2021,Notch signaling pathway (GO:0007219),7/60,0.0039247453800823,0.5211740778253411,0,0,3.816327685213997,21.14418723004883,BMP2;MAML2;WWC1;HEY2;MAML3;SUSD5;DLGAP5,posterior_up
GO_Biological_Process_2021,cardiac muscle tissue morphogenesis (GO:0055008),5/32,0.0040541451536021,0.5211740778253411,0,0,5.342135857830925,29.424566715715933,BMP2;TNNI3;MYH6;TTN;ENG,posterior_up
GO_Biological_Process_2021,vasculogenesis (GO:0001570),5/33,0.0046479101434695,0.5211740778253411,0,0,5.151078368567158,27.66818088000772,PDGFRB;SOX18;HEY2;TNNI3;ENG,posterior_up
GO_Biological_Process_2021,negative regulation of bone remodeling (GO:0046851),3/11,0.005134230400743,0.5211740778253411,0,0,10.796199701937407,56.91567894960273,SFRP1;UBASH3B;CARTPT,posterior_up
GO_Biological_Process_2021,positive regulation of dendrite development (GO:1900006),3/11,0.005134230400743,0.5211740778253411,0,0,10.796199701937407,56.91567894960273,ALK;PTN;BMP5,posterior_up
GO_Biological_Process_2021,negative regulation of cell cycle (GO:0045786),8/80,0.0054814969978671,0.5211740778253411,0,0,3.2122122122122123,16.723987910985798,NPPC;NR4A1;MYOCD;BMP2;HPGD;GAS1;NUPR1;BRINP3,posterior_up
GO_Biological_Process_2021,cardiocyte differentiation (GO:0035051),3/12,0.0066757353532168,0.5211740778253411,0,0,9.59612518628912,48.0696387776824,MESP1;BMP2;MYOCD,posterior_up
GO_Biological_Process_2021,smooth muscle cell differentiation (GO:0051145),3/12,0.0066757353532168,0.5211740778253411,0,0,9.59612518628912,48.0696387776824,MYOCD;EDNRB;HEY2,posterior_up
GO_Biological_Process_2021,regulation of calcium ion transmembrane transport (GO:1903169),4/23,0.0067935682383814,0.5211740778253411,0,0,6.066614296936371,30.28319761615134,CACNG6;UBASH3B;CACNG1;TRDN,posterior_up
GO_Biological_Process_2021,neural crest cell migration (GO:0001755),5/37,0.0076454417109284,0.5211740778253411,0,0,4.506259342301943,21.961911302289693,SEMA6A;SEMA3D;ERBB4;SEMA3A;NRTN,posterior_up
GO_Biological_Process_2021,enzyme linked receptor protein signaling pathway (GO:0007167),11/140,0.0078648295155428,0.5211740778253411,0,0,2.469009786383247,11.963227479135442,PDGFRB;ALK;NPPC;HCK;EFS;ERBB4;SLA;PTN;NGF;EPHA3;EPHB3,posterior_up
GO_Biological_Process_2021,extracellular matrix assembly (GO:0085029),4/24,0.0079386205174018,0.5211740778253411,0,0,5.762985074626866,27.869886629287773,MFAP4;HAS3;EMILIN1;FBLN5,posterior_up
GO_Biological_Process_2021,neuromuscular junction development (GO:0007528),4/24,0.0079386205174018,0.5211740778253411,0,0,5.762985074626866,27.869886629287773,PPFIBP2;LRRK2;F2R;PDZRN3,posterior_up
GO_Biological_Process_2021,supramolecular fiber organization (GO:0097435),21/351,0.0083098270515984,0.5211740778253411,0,0,1.851204232214952,8.867854145892679,COL17A1;COL26A1;MARCKSL1;COL11A1;COL12A1;FIGN;KRT20;RND2;TSPAN33;COL19A1;FBLN5;RND1;TRDN;MFAP4;BFSP2;OPTC;COL10A1;EMILIN1;PGM5;VIM;MYH6,posterior_up
GO_Biological_Process_2021,cardiac cell development (GO:0055006),3/13,0.0084634446560882,0.5211740778253411,0,0,8.636065573770491,41.2112964416025,LRRC10;MYH6;TTN,posterior_up
GO_Biological_Process_2021,muscle tissue development (GO:0060537),3/13,0.0084634446560882,0.5211740778253411,0,0,8.636065573770491,41.2112964416025,SRPK3;PGM5;ENG,posterior_up
GO_Biological_Process_2021,cardiac muscle tissue development (GO:0048738),6/53,0.00856882526952,0.5211740778253411,0,0,3.684354694865588,17.536145353192214,MESP1;MYOCD;BMP2;HEY2;TTN;BMP5,posterior_up
GO_Biological_Process_2021,heart morphogenesis (GO:0003007),6/53,0.00856882526952,0.5211740778253411,0,0,3.684354694865588,17.536145353192214,MESP1;LEFTY1;BMP2;HEY2;ENG;TTN,posterior_up
GO_Biological_Process_2021,cellular response to BMP stimulus (GO:0071773),7/71,0.0098528236994825,0.5211740778253411,0,0,3.158592578710645,14.592688853417991,LEFTY1;SFRP1;BMP2;BMPR1B;BMP6;ENG;BMP5,posterior_up
GO_Biological_Process_2021,endothelial cell differentiation (GO:0045446),3/14,0.0105052648032763,0.5211740778253411,0,0,7.850562254437068,35.76620965356173,MESP1;SOX18;FSTL1,posterior_up
GO_Biological_Process_2021,atrial cardiac muscle tissue morphogenesis (GO:0055009),2/5,0.0105973472427334,0.5211740778253411,0,0,19.169642857142858,87.16727160085217,MYH6;ENG,posterior_up
GO_Biological_Process_2021,catechol-containing compound biosynthetic process (GO:0009713),2/5,0.0105973472427334,0.5211740778253411,0,0,19.169642857142858,87.16727160085217,PNMT;DBH,posterior_up
GO_Biological_Process_2021,regulation of heart growth (GO:0060420),2/5,0.0105973472427334,0.5211740778253411,0,0,19.169642857142858,87.16727160085217,DUSP9;DUSP6,posterior_up
GO_Biological_Process_2021,cellular response to vitamin (GO:0071295),2/5,0.0105973472427334,0.5211740778253411,0,0,19.169642857142858,87.16727160085217,POSTN;SFRP1,posterior_up
