cluster,supertype,median_dl_orig,call_per_section,call_fixed_midline,stable
0175 IT AON-TT-DP Glut_3,Glut_3,1.228383258362577,dorsolateral,dorsolateral,True
0176 IT AON-TT-DP Glut_3,Glut_3,0.9528326694556564,dorsolateral,dorsolateral,True
0178 IT AON-TT-DP Glut_3,Glut_3,0.7625430799656068,dorsolateral,dorsolateral,True
0182 IT AON-TT-DP Glut_5,Glut_5,0.5834906864104535,dorsolateral,dorsolateral,True
0184 IT AON-TT-DP Glut_5,Glut_5,0.5307091651083389,dorsolateral,dorsolateral,True
0185 IT AON-TT-DP Glut_5,Glut_5,0.4715696979850588,dorsolateral,dorsolateral,True
0177 IT AON-TT-DP Glut_3,Glut_3,0.43068701879710625,dorsolateral,dorsolateral,True
0169 IT AON-TT-DP Glut_1,Glut_1,0.1475579185056629,dorsolateral,dorsolateral,True
0167 IT AON-TT-DP Glut_1,Glut_1,-0.09733477846041227,dorsolateral,ventromedial,False
0166 IT AON-TT-DP Glut_1,Glut_1,-0.17458073596940715,dorsolateral,ventromedial,False
0168 IT AON-TT-DP Glut_1,Glut_1,-0.18394639727102607,ventromedial,dorsolateral,False
0180 IT AON-TT-DP Glut_4,Glut_4,-0.4085930186504699,ventromedial,dorsolateral,False
0183 IT AON-TT-DP Glut_5,Glut_5,-0.4242228492040502,ventromedial,ventromedial,True
0171 IT AON-TT-DP Glut_2,Glut_2,-0.7076160936758293,ventromedial,ventromedial,True
0179 IT AON-TT-DP Glut_4,Glut_4,-0.9050444094472294,ventromedial,ventromedial,True
0172 IT AON-TT-DP Glut_2,Glut_2,-1.148946815223422,ventromedial,ventromedial,True
0173 IT AON-TT-DP Glut_2,Glut_2,-1.1955988370206465,ventromedial,ventromedial,True
0181 IT AON-TT-DP Glut_4,Glut_4,-1.2775931213728833,ventromedial,ventromedial,True
0170 IT AON-TT-DP Glut_1,Glut_1,-1.5450746603774361,ventromedial,ventromedial,True
0174 IT AON-TT-DP Glut_2,Glut_2,-1.6679988586187415,ventromedial,ventromedial,True
