n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo
2529,5937.0,0.016843524,0.18527876
2817,6342.0,0.015767897,0.23651844
5466,21839.0,0.03205275,0.20147443
4020,14606.0,0.17116253,0.18485554
2786,7066.0,0.0,0.18397962
3400,12072.0,0.008283632,0.22365806
2956,8257.0,0.012110936,0.14533123
1992,4212.0,0.09496676,0.2611586
3457,10802.0,0.03703018,0.19440845
2542,5154.0,0.44625533,0.3492433
2782,6467.0,0.061852477,0.2319468
2543,6812.0,0.014679977,0.08807986
4795,19880.0,0.0,0.14587526
2864,6149.0,0.06505123,0.2764677
3732,10069.0,0.15890357,0.31780714
4278,13482.0,0.0074172975,0.17801513
3591,10381.0,0.09632983,0.22155862
2764,6513.0,0.015353908,0.27637035
3555,8579.0,0.24478377,0.10490733
3783,13698.0,0.0,0.15330705
6940,35102.0,0.059825655,0.16238391
2906,6986.0,0.0,0.38648725
3270,10153.0,0.11819167,0.29547918
1010,1520.0,0.19736841,0.2631579
2563,6202.0,0.032247663,0.3063528
2383,6221.0,0.0,0.16074586
3448,11617.0,0.008608074,0.2065938
3014,8483.0,0.011788283,0.2121891
4107,13328.0,0.022509003,0.105042025
4467,13767.0,0.0,0.23243989
3470,11774.0,0.21233226,0.22931884
2537,6243.0,0.0800897,0.19221528
2577,6166.0,0.0,0.3243594
3058,8494.0,0.011773016,0.24723333
1757,3746.0,0.026695142,0.37373197
4599,16335.0,0.006121824,0.17141108
2379,5289.0,0.0,0.22688599
3167,8490.0,0.37691402,0.22379269
1533,2720.0,0.110294126,0.22058825
2755,7480.0,0.040106952,0.13368984
2836,6463.0,0.015472691,0.21661767
3535,9999.0,0.22002201,0.29002902
7183,32950.0,0.018209409,0.23065251
2064,3642.0,0.21965954,0.41186163
1858,3870.0,0.025839793,0.33591732
3993,11494.0,0.008700191,0.24360538
2674,6362.0,0.12574661,0.29864824
2796,6387.0,0.031313606,0.31313604
2870,8028.0,0.049825612,0.13702042
2306,4629.0,0.08641175,0.2376323
3197,9498.0,0.010528533,0.16845652
2451,5907.0,0.03385813,0.20314881
3565,10611.0,0.04712091,0.20733202
4286,12492.0,1.040666,0.29618958
3311,10277.0,0.019460933,0.08757419
3385,9593.0,0.04169707,0.1980611
2951,7114.0,0.11245431,0.22490862
2359,5369.0,0.0,0.18625443
4102,12652.0,0.6165033,0.22921278
3733,14844.0,0.026946913,0.13473457
1934,3884.0,0.05149331,0.20597324
2625,6423.0,0.015569049,0.24910478
1741,3374.0,0.0,0.14819206
3406,8910.0,0.011223344,0.23569025
3179,7624.0,0.013116473,0.23609653
2774,7573.0,0.0,0.14525287
2185,4415.0,0.0,0.29445073
1922,4058.0,0.17249876,0.34499753
2255,4096.0,0.9033203,0.48828125
2179,3569.0,0.532362,0.5043429
2299,4486.0,0.022291575,0.3343736
3150,8610.0,0.011614402,0.18583043
4997,16226.0,0.012325897,0.20337729
3886,10900.0,0.04587156,0.17431192
2095,4454.0,0.022451729,0.20206557
3017,8161.0,0.061267003,0.13478741
3199,7133.0,0.32244498,0.37852237
2566,5797.0,0.086251505,0.25875452
2996,7126.0,0.0,0.3227617
1083,1648.0,0.24271844,0.3640777
2865,5704.0,0.17531557,0.2454418
2385,5410.0,0.018484289,0.40665436
1500,2718.0,0.036791757,0.22075056
3203,6574.0,0.060845755,0.13690296
5810,26428.0,0.0075677317,0.13243529
4022,12009.0,0.049962528,0.26646683
3744,10208.0,0.0,0.22531347
3409,10088.0,0.019825535,0.2180809
4250,15204.0,1.2825572,0.21704815
2755,6537.0,0.0,0.10708276
3201,9203.0,0.021732043,0.23905249
2669,6531.0,0.03062318,0.1684275
3159,9641.0,0.0,0.17633025
2965,7397.0,0.013518994,0.25686088
3413,9625.0,0.01038961,0.1974026
1971,3770.0,0.0,0.397878
4121,11624.0,0.025808671,0.16345492
5412,25867.0,0.007731859,0.13530754
2515,5900.0,0.0,0.22033897
2551,5972.0,0.01674481,0.28466174
4485,18313.0,0.0,0.20204227
1607,2669.0,0.2248033,0.11240165
9793,98996.0,0.018182553,0.1545517
3152,7221.0,0.20772748,0.26312146
2617,6879.0,0.0,0.14536996
9217,68576.0,0.042288847,0.16332245
5959,27214.0,0.0036745793,0.16903065
4408,17815.0,0.01683974,0.1908504
5986,29049.0,0.013769837,0.15491067
3894,13563.0,0.007373,0.132714
6763,38845.0,0.018020337,0.22139272
3169,8957.0,0.022328906,0.3014402
3424,10007.0,0.66953135,0.29979014
3922,13351.0,0.007490076,0.22470227
1836,3596.0,0.05561735,0.41713017
