,donor,group,sex
Snap25-IRES2-Cre;Ai14-434997_ventromedial,Snap25-IRES2-Cre;Ai14-434997,ventromedial,F
Snap25-IRES2-Cre;Ai14-434997_dorsolateral,Snap25-IRES2-Cre;Ai14-434997,dorsolateral,F
Snap25-IRES2-Cre;Ai14-435849_ventromedial,Snap25-IRES2-Cre;Ai14-435849,ventromedial,M
Snap25-IRES2-Cre;Ai14-435849_dorsolateral,Snap25-IRES2-Cre;Ai14-435849,dorsolateral,M
Snap25-IRES2-Cre;Ai14-435850_ventromedial,Snap25-IRES2-Cre;Ai14-435850,ventromedial,M
Snap25-IRES2-Cre;Ai14-435850_dorsolateral,Snap25-IRES2-Cre;Ai14-435850,dorsolateral,M
Snap25-IRES2-Cre;Ai14-439484_ventromedial,Snap25-IRES2-Cre;Ai14-439484,ventromedial,F
Snap25-IRES2-Cre;Ai14-439484_dorsolateral,Snap25-IRES2-Cre;Ai14-439484,dorsolateral,F
Snap25-IRES2-Cre;Ai14-439975_ventromedial,Snap25-IRES2-Cre;Ai14-439975,ventromedial,F
Snap25-IRES2-Cre;Ai14-439975_dorsolateral,Snap25-IRES2-Cre;Ai14-439975,dorsolateral,F
Snap25-IRES2-Cre;Ai14-439976_ventromedial,Snap25-IRES2-Cre;Ai14-439976,ventromedial,F
Snap25-IRES2-Cre;Ai14-439976_dorsolateral,Snap25-IRES2-Cre;Ai14-439976,dorsolateral,F
Snap25-IRES2-Cre;Ai14-441865_ventromedial,Snap25-IRES2-Cre;Ai14-441865,ventromedial,M
Snap25-IRES2-Cre;Ai14-441865_dorsolateral,Snap25-IRES2-Cre;Ai14-441865,dorsolateral,M
Snap25-IRES2-Cre;Ai14-452715_ventromedial,Snap25-IRES2-Cre;Ai14-452715,ventromedial,F
Snap25-IRES2-Cre;Ai14-452715_dorsolateral,Snap25-IRES2-Cre;Ai14-452715,dorsolateral,F
Snap25-IRES2-Cre;Ai14-455006_ventromedial,Snap25-IRES2-Cre;Ai14-455006,ventromedial,M
Snap25-IRES2-Cre;Ai14-455006_dorsolateral,Snap25-IRES2-Cre;Ai14-455006,dorsolateral,M
Snap25-IRES2-Cre;Ai14-455009_ventromedial,Snap25-IRES2-Cre;Ai14-455009,ventromedial,F
Snap25-IRES2-Cre;Ai14-455009_dorsolateral,Snap25-IRES2-Cre;Ai14-455009,dorsolateral,F
