leiden,n,inhouse_lineage,scanvi_mean_conf,scanvi_med_conf,scanvi_top_subclass,scanvi_top_frac
0,930,Excitatory,0.9843764662795699,1.0,009 L2/3 IT PIR-ENTl Glut,0.9376344086021505
1,2197,Inhibitory,0.9596423013336368,0.9999814,064 STR-PAL Chst9 Gaba,0.48566226672735546
2,4957,Inhibitory,0.9783018678535405,0.99999475,061 STR D1 Gaba,0.881783336695582
3,3660,Inhibitory,0.9752855706721311,0.9999759,062 STR D2 Gaba,0.8773224043715847
4,3877,Inhibitory,0.7153452360871808,0.7494298,072 LSX Sall3 Lmo1 Gaba,0.4248129997420686
5,1152,Excitatory,0.963069784765625,0.999914835,030 L6 CT CTX Glut,0.6423611111111112
6,2604,Excitatory,0.9007456456989248,0.9880975750000001,009 L2/3 IT PIR-ENTl Glut,0.5606758832565284
7,3501,Inhibitory,0.8358918244987146,0.9338933,070 LSX Prdm12 Slit2 Gaba,0.368180519851471
8,331,Inhibitory,0.8420234404531722,0.9210453,060 OT D3 Folh1 Gaba,0.29607250755287007
9,406,Inhibitory,0.8402788649261084,0.926149,054 STR Prox1 Lhx6 Gaba,0.45320197044334976
10,847,Inhibitory,0.9986805928217237,0.99999964,060 OT D3 Folh1 Gaba,0.9976387249114522
11,1122,Inhibitory,0.9587390566488413,0.999972165,052 Pvalb Gaba,0.38235294117647056
12,1118,Inhibitory,0.9834685279874775,0.9999900349999999,040 OB Trdn Gaba,0.9427549194991055
13,604,Excitatory,0.9816377787251657,0.9999999,001 CLA-EPd-CTX Car3 Glut,0.9635761589403974
14,1444,Excitatory,0.9265084288850415,0.99862337,010 IT AON-TT-DP Glut,0.4729916897506925
15,416,Inhibitory,0.9690649417067309,0.9999981499999999,049 Lamp5 Gaba,0.40384615384615385
16,1259,Excitatory,0.923545689150119,0.9953506,002 IT EP-CLA Glut,0.6068308181096108
17,175,Inhibitory,0.8336099326285715,0.92894804,057 NDB-SI-MA-STRv Lhx8 Gaba,0.72
18,1244,Inhibitory,0.8307677292765274,0.9108959,057 NDB-SI-MA-STRv Lhx8 Gaba,0.4284565916398714
19,612,Excitatory,0.9639627916666667,0.999929085,007 L2/3 IT CTX Glut,0.9101307189542484
20,337,Unassigned,0.7667597865578636,0.8374038,061 STR D1 Gaba,0.2433234421364985
21,159,Excitatory,0.9853365515723271,0.99997497,032 L5 NP CTX Glut,0.9559748427672956
