cluster,n,med_dl_score,med_z,med_y,med_x_lat,supertype,group
0175 IT AON-TT-DP Glut_3,892,1.2283605741662302,13.0,5.768681550562288,1.6919016504851445,Glut_3,dorsolateral
0176 IT AON-TT-DP Glut_3,428,0.9528150737718889,12.2,5.838820268349794,0.7435456372594089,Glut_3,dorsolateral
0178 IT AON-TT-DP Glut_3,1365,0.7625289983043411,12.2,6.391351822728798,1.2912397740785568,Glut_3,dorsolateral
0182 IT AON-TT-DP Glut_5,777,0.5834799112576606,11.4,6.095079558584239,0.9652032403081474,Glut_5,dorsolateral
0184 IT AON-TT-DP Glut_5,7859,0.5306993646565479,12.0,6.152567595986166,0.9401564516919763,Glut_5,dorsolateral
0185 IT AON-TT-DP Glut_5,847,0.471560989644606,11.8,6.241881292580868,0.9568885710687356,Glut_5,dorsolateral
0177 IT AON-TT-DP Glut_3,1021,0.43067906542519907,12.0,6.39540256578671,1.17198738400596,Glut_3,dorsolateral
0169 IT AON-TT-DP Glut_1,910,0.14755519359650027,10.2,5.876981208428395,0.2832023823415466,Glut_1,dorsolateral
0167 IT AON-TT-DP Glut_1,1273,-0.09733298100736909,10.8,6.109729284958657,0.3829905899679975,Glut_1,dorsolateral
0166 IT AON-TT-DP Glut_1,397,-0.1745775120377343,10.2,6.036467522222846,0.23616001448750357,Glut_1,dorsolateral
0168 IT AON-TT-DP Glut_1,380,-0.18394300038641015,9.7,7.287184946968152,1.380968207024598,Glut_1,ventromedial
0180 IT AON-TT-DP Glut_4,1040,-0.4085854732820372,11.0,7.154847487706674,1.3531824989521701,Glut_4,ventromedial
0183 IT AON-TT-DP Glut_5,1938,-0.42421501520408267,11.4,6.873348152190397,0.9440850373519618,Glut_5,ventromedial
0171 IT AON-TT-DP Glut_2,2458,-0.7076030263352433,11.0,6.657157439703134,0.6197014595791717,Glut_2,ventromedial
0179 IT AON-TT-DP Glut_4,618,-0.9050276962553598,11.0,6.860507008804463,0.6858114920796607,Glut_4,ventromedial
0172 IT AON-TT-DP Glut_2,809,-1.1489255979567659,11.0,6.709681673548019,0.41854062725640073,Glut_2,ventromedial
0173 IT AON-TT-DP Glut_2,444,-1.1955767582446728,11.0,7.061957785275444,0.7448455549629314,Glut_2,ventromedial
0181 IT AON-TT-DP Glut_4,578,-1.2775695284323092,11.0,7.220675120132059,0.8169655734314323,Glut_4,ventromedial
0170 IT AON-TT-DP Glut_1,2945,-1.5450461279330807,11.0,7.145567389960703,0.3868264346760162,Glut_1,ventromedial
0174 IT AON-TT-DP Glut_2,97,-1.6679680561689705,10.8,7.286434682704653,0.6118754070391068,Glut_2,ventromedial
